Signe,,,,,,,Informations,,,,,Validation,,,,,,Traitement vidéo,,,,,,
Domaine,Sous-domaine,Mot,N°ID,N° Signe,Définition,Explication,Date,Nom,Prénom,Origine,Version,Format,Clarté,Total,Remarques,,,Téléchargé,Monté,Miniature,YouTube,Site Web,Lien YouTube,
Mathématiques,Statistiques/Probabilités,Intervalle de fluctuation,66,1,non,oui,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/eaFIA3aXmEc,
Sciences humaines,Droit,Privation langagière,67,1,non,non,13/05/2018,,,Séminaire,mp4,0,0,0,déclassé,,,oui,non,non,non,non,,
Physique,Classique,Théorie de la relativité,68,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,oui,https://youtu.be/eIAST5uOKmc,
Mathématiques,Géométrie,Polygone,69,1,,oui,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,non,https://youtu.be/d1fAx6Smdiw,
Santé,Affections,Kyste,70,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/cHVi6X1T_V4,
Sciences de la Vie,Cellulaire,Phagocytose,71,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/jOvvQuDCEO4,
Sciences de la Vie,Biochimie,Substrat,72,1,non,non,13/05/2018,,,Séminaire,mp4,1,1,2,Manque l'explication ; 2ème signe fait à Nantes,,,oui,oui,oui,oui,en cours,https://youtu.be/S-m5FDU-hhg,
Sciences de la Vie,Génétique,Codon,73,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/4DtiYgonTIs,
Sciences de la Vie,Génétique,Génome,74,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/NkW5yY0UGgY,
Sciences de la Vie,Génétique,Nucléotides,75,1,non,non,13/05/2018,,,Séminaire,mov,1,1,2,Manque l'explication ,,,oui,oui,oui,oui,en cours,https://youtu.be/ojNDquTzAj0,
